2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:41:32,601 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:33,849 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:35,618 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:36,069 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:36,369 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:36,742 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:37,487 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:37,891 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:38,206 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:38,544 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:38,948 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:39,513 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:40,011 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:40,986 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:41,220 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:42,398 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
